Struktura;Algorytm;V;Gestosc;SredniCzas_ns
Lista;Dijkstra;10;25;3063610
Lista;BellmanFord;10;25;3135725
Macierz;Dijkstra;10;25;2196285
Macierz;BellmanFord;10;25;2230892
Krawedzie;Dijkstra;10;25;2042974
Krawedzie;BellmanFord;10;25;2020528
Lista;Dijkstra;10;50;1965892
Lista;BellmanFord;10;50;2060574
Macierz;Dijkstra;10;50;810613
Macierz;BellmanFord;10;50;776005
Krawedzie;Dijkstra;10;50;718979
Krawedzie;BellmanFord;10;50;699883
Lista;Dijkstra;10;75;693835
Lista;BellmanFord;10;75;636856
Macierz;Dijkstra;10;75;710380
Macierz;BellmanFord;10;75;704152
Krawedzie;Dijkstra;10;75;695314
Krawedzie;BellmanFord;10;75;639157
Lista;Dijkstra;10;100;716887
Lista;BellmanFord;10;100;661234
Macierz;Dijkstra;10;100;665104
Macierz;BellmanFord;10;100;652145
Krawedzie;Dijkstra;10;100;680620
Krawedzie;BellmanFord;10;100;639626
Lista;Dijkstra;20;25;1503205
Lista;BellmanFord;20;25;1476000
Macierz;Dijkstra;20;25;1467274
Macierz;BellmanFord;20;25;1424603
Krawedzie;Dijkstra;20;25;1473093
Krawedzie;BellmanFord;20;25;1381561
Lista;Dijkstra;20;50;1460322
Lista;BellmanFord;20;50;1359845
Macierz;Dijkstra;20;50;1418171
Macierz;BellmanFord;20;50;1420444
Krawedzie;Dijkstra;20;50;1419755
Krawedzie;BellmanFord;20;50;1418661
Lista;Dijkstra;20;75;1398615
Lista;BellmanFord;20;75;1410384
Macierz;Dijkstra;20;75;1419691
Macierz;BellmanFord;20;75;1371389
Krawedzie;Dijkstra;20;75;1436113
Krawedzie;BellmanFord;20;75;1402318
Lista;Dijkstra;20;100;1532330
Lista;BellmanFord;20;100;1426882
Macierz;Dijkstra;20;100;1476027
Macierz;BellmanFord;20;100;1534738
Krawedzie;Dijkstra;20;100;1470017
Krawedzie;BellmanFord;20;100;1376945
Lista;Dijkstra;50;25;3914684
Lista;BellmanFord;50;25;3770486
Macierz;Dijkstra;50;25;3865861
Macierz;BellmanFord;50;25;4273252
Krawedzie;Dijkstra;50;25;4000104
Krawedzie;BellmanFord;50;25;3830807
Lista;Dijkstra;50;50;3876377
Lista;BellmanFord;50;50;4042418
Macierz;Dijkstra;50;50;3864709
Macierz;BellmanFord;50;50;4709918
Krawedzie;Dijkstra;50;50;3987566
Krawedzie;BellmanFord;50;50;4142640
Lista;Dijkstra;50;75;3636556
Lista;BellmanFord;50;75;4315734
Macierz;Dijkstra;50;75;3860235
Macierz;BellmanFord;50;75;4677344
Krawedzie;Dijkstra;50;75;3721885
Krawedzie;BellmanFord;50;75;4429608
Lista;Dijkstra;50;100;3835274
Lista;BellmanFord;50;100;4429410
Macierz;Dijkstra;50;100;3770043
Macierz;BellmanFord;50;100;4915155
Krawedzie;Dijkstra;50;100;3742367
Krawedzie;BellmanFord;50;100;4641959
Lista;Dijkstra;100;25;8449380
Lista;BellmanFord;100;25;9168190
Macierz;Dijkstra;100;25;8602084
Macierz;BellmanFord;100;25;13755723
Krawedzie;Dijkstra;100;25;8662459
Krawedzie;BellmanFord;100;25;9727976
Lista;Dijkstra;100;50;8372308
Lista;BellmanFord;100;50;11050474
Macierz;Dijkstra;100;50;8330205
Macierz;BellmanFord;100;50;17049400
Krawedzie;Dijkstra;100;50;8919979
Krawedzie;BellmanFord;100;50;12467161
Lista;Dijkstra;100;75;8079889
Lista;BellmanFord;100;75;12914391
Macierz;Dijkstra;100;75;8274400
Macierz;BellmanFord;100;75;17587575
Krawedzie;Dijkstra;100;75;8421610
Krawedzie;BellmanFord;100;75;14697432
Lista;Dijkstra;100;100;8087124
Lista;BellmanFord;100;100;15226605
Macierz;Dijkstra;100;100;8250513
Macierz;BellmanFord;100;100;18761320
Krawedzie;Dijkstra;100;100;8631491
Krawedzie;BellmanFord;100;100;17832001
Lista;Dijkstra;200;25;21323337
Lista;BellmanFord;200;25;32215468
Macierz;Dijkstra;200;25;21405797
Macierz;BellmanFord;200;25;69180535
Krawedzie;Dijkstra;200;25;22369174
Krawedzie;BellmanFord;200;25;37901447
Lista;Dijkstra;200;50;20997273
Lista;BellmanFord;200;50;49182750
Macierz;Dijkstra;200;50;21594678
Macierz;BellmanFord;200;50;100882682
Krawedzie;Dijkstra;200;50;22708533
Krawedzie;BellmanFord;200;50;59361932
Lista;Dijkstra;200;75;21015456
Lista;BellmanFord;200;75;68618839
Macierz;Dijkstra;200;75;21038633
Macierz;BellmanFord;200;75;104098050
Krawedzie;Dijkstra;200;75;24501562
Krawedzie;BellmanFord;200;75;82486616
Lista;Dijkstra;200;100;21598575
Lista;BellmanFord;200;100;100273973
Macierz;Dijkstra;200;100;20989154
Macierz;BellmanFord;200;100;113154436
Krawedzie;Dijkstra;200;100;25299055
Krawedzie;BellmanFord;200;100;104692588
